Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
10.09,0,0.1694513493109257404094429323,0.169451349310926,0.168875259478732,0.169451349310926,0.168875259478732,0,0,0,0,6.4463838402949580687014307303,109.81937468485378605022912753,113.94662165500187532160681716,1268736000
10.10,0,0.1694141845213814964094429323,0.169414184521382,0.168839159766674,0.169414184521382,0.168839159766674,0,0,0,0,6.4440164457964268907014307313,109.80086378992104973303653647,113.93562006596357596783973695,1269993000
10.11,0,0.1693770018371596454094429323,0.16937700183716,0.168803039208091,0.16937700183716,0.168803039208091,0,0,0,0,6.4416542363287335487014307312,109.78238491448177612609188779,113.92464231140231673045180147,1271251000
10.12,0,0.1693399817284904394094429323,0.16933998172849,0.168767078284102,0.16933998172849,0.168767078284102,0,0,0,0,6.4392965656636669127014307312,109.763884938100982566567577,113.91365287096274702245005999,1272508000
10.13,0,0.1693030451419122034094429323,0.169303045141912,0.168731197952083,0.169303045141912,0.168731197952083,0,0,0,0,6.4369435106429836317014307313,109.74543817441439500922953509,113.90270191706822887085767212,1273765000
10.14,0,0.1692661790813746234094429323,0.169266179081375,0.168695385226773,0.169266179081375,0.168695385226773,0,0,0,0,6.4345948186198550557014307301,109.72697175637874951637579276,113.8917403397159807834234998,1275023000
10.15,0,0.1692293764799532354094429323,0.169229376479953,0.168659633051987,0.169229376479953,0.168659633051987,0,0,0,0,6.4322510666745761787014307305,109.70856595139910516427054909,113.88082199189139097022243269,1276280000
10.16,0,0.1691926558241235564094429323,0.169192655824124,0.168623959924891,0.169192655824124,0.168623959924891,0,0,0,0,6.4299114530857825047014307304,109.69013454824180722272588696,113.86988912001964218711729835,1277538000
10.17,0,0.1691561056004600954094429323,0.16915610560046,0.168588454342699,0.16915610560046,0.168588454342699,0,0,0,0,6.4275763891987781717014307311,109.67175563365591930681422685,113.85899419464454650695816233,1278795000
10.18,0,0.1691196302246696874094429323,0.16911963022467,0.168553020731711,0.16911963022467,0.168553020731711,0,0,0,0,6.4252457872540202917014307308,109.65336087167046170912210502,113.8480910942606176531218239,1280052000
10.19,0,0.1690832237368318554094429323,0.169083223736832,0.16851765314255,0.169083223736832,0.16851765314255,0,0,0,0,6.4229198047777779097014307312,109.63501832068283948935928603,113.83722566014322484803138861,1281310000
